timestamp_index,label
95,trending_down
96,trending_down
97,trending_down
98,trending_down
99,trending_down
100,trending_down
101,trending_down
102,trending_down
103,trending_down
104,trending_down
105,volatile
106,volatile
107,volatile
108,volatile
109,volatile
110,volatile
111,volatile
112,volatile
113,volatile
114,volatile
115,volatile
116,volatile
117,volatile
118,volatile
119,volatile
120,volatile
121,volatile
122,trending_down
123,volatile
124,volatile
125,volatile
126,volatile
127,volatile
128,volatile
129,volatile
130,volatile
131,volatile
132,volatile
133,volatile
134,volatile
135,volatile
136,volatile
137,volatile
138,volatile
139,volatile
140,volatile
141,volatile
142,volatile
143,volatile
144,volatile
145,volatile
146,volatile
147,volatile
148,volatile
149,volatile
150,volatile
151,volatile
152,volatile
153,volatile
154,volatile
155,volatile
156,volatile
157,volatile
158,volatile
159,volatile
160,volatile
161,trending_up
162,trending_up
163,trending_up
164,trending_up
165,trending_up
166,trending_up
167,trending_up
168,trending_up
169,trending_up
170,trending_up
171,volatile
172,volatile
173,volatile
174,volatile
175,volatile
176,volatile
177,volatile
178,volatile
179,volatile
180,volatile
181,volatile
182,volatile
183,volatile
184,volatile
185,volatile
186,volatile
187,volatile
188,volatile
189,volatile
190,volatile
191,volatile
192,volatile
193,volatile
194,volatile
195,volatile
196,trending_up
197,trending_up
198,trending_up
199,trending_up
200,volatile
201,volatile
202,volatile
203,volatile
204,volatile
205,volatile
206,volatile
207,volatile
208,volatile
209,volatile
210,volatile
211,volatile
212,volatile
213,volatile
214,volatile
215,volatile
216,volatile
217,volatile
218,volatile
219,volatile
220,volatile
221,volatile
222,trending_up
223,trending_up
224,trending_up
225,trending_up
226,trending_up
227,trending_up
228,trending_up
229,trending_up
230,trending_up
231,trending_up
232,trending_up
233,trending_up
234,trending_up
235,trending_up
236,trending_up
237,trending_up
238,trending_up
239,trending_up
240,trending_up
241,trending_up
242,trending_up
243,trending_up
244,trending_up
245,trending_up
246,trending_up
247,trending_up
248,trending_up
249,trending_up
250,trending_up
251,trending_up
252,trending_up
253,trending_up
254,trending_up
255,trending_up
256,trending_up
257,trending_up
258,trending_up
259,trending_up
260,trending_up
261,trending_up
262,trending_up
263,trending_up
264,trending_up
265,trending_up
266,trending_up
267,trending_up
268,trending_up
269,trending_up
270,trending_up
271,trending_up
272,trending_up
273,trending_up
274,trending_up
275,trending_up
276,trending_up
277,trending_up
278,trending_up
279,trending_up
280,trending_up
281,trending_up
282,trending_up
283,trending_up
284,trending_up
285,trending_up
286,trending_up
287,trending_up
288,trending_up
289,trending_up
290,trending_up
291,trending_up
292,trending_up
293,trending_up
294,trending_up
295,trending_up
296,trending_up
297,trending_up
298,trending_up
299,trending_up
